name,url_ticker,datum,preis,location,plz,ort,land,webseite,bands,bands_str
Aalborg Metal Festival,https://www.festivalticker.de/festivals/aalborg_metalfestival/,07.11.2025 bis 08.11.2025,VVK 820 DKK,Studenterhuset,9000,Aalborg,Daenemark,https://aalborgmetalfestival.dk/,"['Belphegor', 'Dawn of Demise', 'Defacing God', 'Hard Lessons', 'Illdisposed', 'Koya', 'Mnemic', 'Terropy', 'Ashes of Billy', 'Bersærk', 'Blazing Eternity', 'Cancer Bats', 'Llnn', 'Strychnos', 'Tripplegänger', 'Vulvatorious']","Belphegor, Dawn of Demise, Defacing God, Hard Lessons, Illdisposed, Koya, Mnemic, Terropy, Ashes of Billy, Bersærk, Blazing Eternity, Cancer Bats, Llnn, Strychnos, Tripplegänger, Vulvatorious"
Alcatraz Festival,https://www.festivalticker.de/festivals/alcatraz_festival/,06.08.2026 bis 09.08.2026,VVK 249 € (Stufe 3),Sport Campus Lange Munte,8500,Kortrijk,Belgien,https://www.alcatraz.be/,"['Powerwolf', 'Slaughter To Prevail', 'Arch Enemy', 'Alestorm', 'Lamb Of God', 'Saxon', 'Savatage', 'Body Count', 'Testament', 'Channel Zero', 'Amenra', 'Amorphis', 'Thy Art Is Murder', 'The Ghost Inside', 'Satyricon', 'Hatebreed', 'Biohazard', 'Soulfly', 'Primus', 'Nevermore', 'Imminence', 'Igorrr', 'Dirkschneider', 'Bleed From Within', 'Orbit Culture', 'Alcest', 'Deicide', 'Rose Tattoo', 'Municipal Waste', 'Paleface Swiss', 'Of Mice & Men', 'Mikkey Dee With Friends', 'Metal Church', 'Combichrist', 'Psychonaut', 'Fit For An Autopsy', 'Crowbar', 'Health', 'Ill Nino', 'Warkings', 'Armored Saint', 'Crimson Glory', 'Rise Of The Northstar', 'Immolation', 'Gutalax', 'Carach Angren', 'Terror', 'Heidevolk', 'Coven', 'Northlane', 'Sacred Reich', 'Soen', 'Mantah', 'Death Angel', 'Kylesa', 'Voivod', 'Anaal Nathrakh', 'Miracle Of Sound', 'Bloodbound', 'Kittie', 'Mushroomhead', 'Masterplan', 'Firewind', 'Coroner', 'Misþyrming & Nergal', 'Warrior Soul', 'Der Weg Einer Freiheit', 'Alien Ant Farm', 'Chelsea Grin', 'Merauder', 'Animals As Leaders', 'Enthroned', 'Funeral Dress', 'Cyclone', 'Cowboys & Aliens', 'Blackbraid', 'Revocation', 'Monolord', 'Vended', '200 Stab Wounds', 'Aura Noir', 'Sanguisugabogg', 'Firespawn', 'Midnight', 'Mortal Sin', 'Wings Of Steel', 'Ratos De Porao', 'Castle Rat', 'Jungle Rot', 'Hate', 'Deceased', 'Witch Club Satan', 'Tailgunner', 'Left To Die', 'The Troops Of Doom', 'Internal Bleeding', 'Graceless', 'The Ruins Of Beverast', 'Brutal Sphincter', 'Insanity Alert', 'Nefarious', 'Graphic Nature', 'Izegrim', 'Luna Kills', 'Vacuous', 'Aeveris', 'Hemelbestormer', 'Hope Erodes', 'Your Highness', 'Ronker', 'Modder', 'A Thousand Sufferings', 'Sons Of Lioth', 'Divided', 'Poseydon', 'Encounters', 'Turpentine Valley', 'Dead Serious', 'Steengruis', 'Breakout', 'Mortal Scepter']","Powerwolf, Slaughter To Prevail, Arch Enemy, Alestorm, Lamb Of God, Saxon, Savatage, Body Count, Testament, Channel Zero, Amenra, Amorphis, Thy Art Is Murder, The Ghost Inside, Satyricon, Hatebreed, Biohazard, Soulfly, Primus, Nevermore, Imminence, Igorrr, Dirkschneider, Bleed From Within, Orbit Culture, Alcest, Deicide, Rose Tattoo, Municipal Waste, Paleface Swiss, Of Mice & Men, Mikkey Dee With Friends, Metal Church, Combichrist, Psychonaut, Fit For An Autopsy, Crowbar, Health, Ill Nino, Warkings, Armored Saint, Crimson Glory, Rise Of The Northstar, Immolation, Gutalax, Carach Angren, Terror, Heidevolk, Coven, Northlane, Sacred Reich, Soen, Mantah, Death Angel, Kylesa, Voivod, Anaal Nathrakh, Miracle Of Sound, Bloodbound, Kittie, Mushroomhead, Masterplan, Firewind, Coroner, Misþyrming & Nergal, Warrior Soul, Der Weg Einer Freiheit, Alien Ant Farm, Chelsea Grin, Merauder, Animals As Leaders, Enthroned, Funeral Dress, Cyclone, Cowboys & Aliens, Blackbraid, Revocation, Monolord, Vended, 200 Stab Wounds, Aura Noir, Sanguisugabogg, Firespawn, Midnight, Mortal Sin, Wings Of Steel, Ratos De Porao, Castle Rat, Jungle Rot, Hate, Deceased, Witch Club Satan, Tailgunner, Left To Die, The Troops Of Doom, Internal Bleeding, Graceless, The Ruins Of Beverast, Brutal Sphincter, Insanity Alert, Nefarious, Graphic Nature, Izegrim, Luna Kills, Vacuous, Aeveris, Hemelbestormer, Hope Erodes, Your Highness, Ronker, Modder, A Thousand Sufferings, Sons Of Lioth, Divided, Poseydon, Encounters, Turpentine Valley, Dead Serious, Steengruis, Breakout, Mortal Scepter"
Baden in Blut Festival,https://www.festivalticker.de/festivals/baden_in_blut/,17.07.2026 bis 18.07.2026,VVK 120 €,Drei Länder Garten,79576,Weil am Rhein,Deutschland,https://www.metal-maniacs.eu/baden-in-blut,"['Satyricon', 'Pain', 'Emil Bulls', 'Omnium Gatherum', 'Gaerea', 'Vader', 'Swallow The Sun', 'Onslaught', 'Torture Killer', 'Hippotraktor', 'Dark Oath', 'Expellow und weitere']","Satyricon, Pain, Emil Bulls, Omnium Gatherum, Gaerea, Vader, Swallow The Sun, Onslaught, Torture Killer, Hippotraktor, Dark Oath, Expellow und weitere"
Azkena Rock Festival,https://www.festivalticker.de/festivals/azkena_rock/,18.06.2026 bis 20.06.2026,VVK 175 €,Recinto Mendizabala,01001,Vitoria-Gasteiz,Spanien,https://azkenarockfestival.com/,"['Alcalá Norte', 'Alice Cooper', 'Ángel Y Cristo', 'Black Maracas', 'Bloodsucking Zombies From Outer Space', 'Bridge City Sinners', 'Capitán Entresijos feat. Garganta Profunda', 'Captain Trasho', 'Carpenter Brut', 'Cavegirl + The Neandergals', 'Circle Jerks', 'Corrosion Of Conformity', 'Counting Crows', 'Cuir', 'Dewolff', 'Discharge', 'Evaristo', 'Hällas', 'Henge', 'Imelda May', 'Jason Isbell', 'Jason Isbell & The 400 Unit', 'Lepora', 'Les Robots', 'Nhil', 'Old Crow Medicine Show', 'Radioactivas', 'Restless Ramone', 'Robert Finley', 'Rodeo', 'Sleaford Mods', 'Social Distortion', 'Split Dogs', 'Starbenders', ""Stompin' Riffraffs"", 'Sugar', 'Superchunk', 'The Adicts Adiós Amigos', 'The Concrete Boys', 'The Damn Truth', 'The Del Fuegos', 'The Dwarves', 'The Hives', 'The Temperance Movement', 'Therapy?', 'Tropical Fuck Storm', 'Twin Ghosts', 'Vandoliers', 'Voivod']","Alcalá Norte, Alice Cooper, Ángel Y Cristo, Black Maracas, Bloodsucking Zombies From Outer Space, Bridge City Sinners, Capitán Entresijos feat. Garganta Profunda, Captain Trasho, Carpenter Brut, Cavegirl + The Neandergals, Circle Jerks, Corrosion Of Conformity, Counting Crows, Cuir, Dewolff, Discharge, Evaristo, Hällas, Henge, Imelda May, Jason Isbell, Jason Isbell & The 400 Unit, Lepora, Les Robots, Nhil, Old Crow Medicine Show, Radioactivas, Restless Ramone, Robert Finley, Rodeo, Sleaford Mods, Social Distortion, Split Dogs, Starbenders, Stompin' Riffraffs, Sugar, Superchunk, The Adicts Adiós Amigos, The Concrete Boys, The Damn Truth, The Del Fuegos, The Dwarves, The Hives, The Temperance Movement, Therapy?, Tropical Fuck Storm, Twin Ghosts, Vandoliers, Voivod"
Bang Your Head!!!,https://www.festivalticker.de/festivals/rvbang_festival/,09.07.2026 bis 11.07.2026,"VVK 124,51 €",Messegelände,72336,Balingen,Deutschland,https://rvbang.de/,"['Overkill', 'H.E.A.T', 'Orden Ogan', 'Michael Schenker', 'Rage', 'Sonata Arctica', 'Five O Seven', 'Motorjesus', 'Enforcer', 'Omnium Gatherum', 'Tales of Valor', 'Cave', 'Snow White Blood', 'Ambush', 'Mystic Prophecy', 'Mad Era', 'Broken Fate', 'Mission in Black', 'Destinity', 'Lacrimas Profundere', 'Tankard']","Overkill, H.E.A.T, Orden Ogan, Michael Schenker, Rage, Sonata Arctica, Five O Seven, Motorjesus, Enforcer, Omnium Gatherum, Tales of Valor, Cave, Snow White Blood, Ambush, Mystic Prophecy, Mad Era, Broken Fate, Mission in Black, Destinity, Lacrimas Profundere, Tankard"
Amphi Festival,https://www.festivalticker.de/festivals/amphi_festival/,25.07.2026 bis 26.07.2026,VVK 126 €,Tanzbrunnen,50679,Köln,Deutschland,https://www.amphi-festival.de,"['Calva Y Nada', 'Das Ich', 'Escape with Romeo', 'Harpyie', 'Heldmaschine', 'Mono Inc.', 'PINK TURNS BLUE', 'Rue Oberkampf', 'Selofan', 'Solar Fake', 'Soror Dolorosa', 'Soulbound', 'The Exploding Boy', 'Twin Noir', 'VNV Nation', 'Whispers in the Shadow', 'Assemblage 23', 'Chrom', 'Clan of Xymox', 'Diary Of Dreams', 'Eisbrecher', 'Emmon', 'Empathy Test', 'Extize', 'Lebanon Hanover', 'Paradox Obscur', 'Potochkine', 'Rotersand', 'Schattenmann', 'Siie', 'Solitary Experiments', 'Welle:Erdball']","Calva Y Nada, Das Ich, Escape with Romeo, Harpyie, Heldmaschine, Mono Inc., PINK TURNS BLUE, Rue Oberkampf, Selofan, Solar Fake, Soror Dolorosa, Soulbound, The Exploding Boy, Twin Noir, VNV Nation, Whispers in the Shadow, Assemblage 23, Chrom, Clan of Xymox, Diary Of Dreams, Eisbrecher, Emmon, Empathy Test, Extize, Lebanon Hanover, Paradox Obscur, Potochkine, Rotersand, Schattenmann, Siie, Solitary Experiments, Welle:Erdball"
Barcelona Rock Fest,https://www.festivalticker.de/festivals/rock_fest_barcelona/,03.07.2026 bis 05.07.2026,VVK 225 €,Parc De Can Zam,08924,Santa Coloma de Gramenet,Spanien,https://www.barcelonarockfest.com/,"['Accept', 'AMH', 'Bad Religion', 'Bleed From Within', 'Blues Pills', 'Breaking Benjamin', 'Cavalera', 'Chevelle', 'Chino Banzai', 'Dünedain', 'Evaristo', 'Gotthard', 'Helloween', 'Hiraes', 'Latzen', 'Los Barones', 'Loudness', 'Machete Law', 'Megadeth', 'Motörhits', 'Napalm Death', 'Orden Ogan', 'Powerwolf', 'Pretty Maids', 'Primal Fear', 'Rat-zinger', 'Rienda Suelta', 'Sabaton', 'Sex Pistols', 'Steel Panther', 'Stingers', 'StarAce', 'T.N.T.', 'Tankard', 'Testament', 'The Offspring', 'Tyketto']","Accept, AMH, Bad Religion, Bleed From Within, Blues Pills, Breaking Benjamin, Cavalera, Chevelle, Chino Banzai, Dünedain, Evaristo, Gotthard, Helloween, Hiraes, Latzen, Los Barones, Loudness, Machete Law, Megadeth, Motörhits, Napalm Death, Orden Ogan, Powerwolf, Pretty Maids, Primal Fear, Rat-zinger, Rienda Suelta, Sabaton, Sex Pistols, Steel Panther, Stingers, StarAce, T.N.T., Tankard, Testament, The Offspring, Tyketto"
Bochum Total,https://www.festivalticker.de/festivals/bochum_total/,02.07.2026 bis 05.07.2026,Kostenlos,Innenstadt,44787,Bochum,Deutschland,https://bochumtotal.de/,"['Thomas Godoj', 'Samurai Pizza Cats', 'From Fall To Spring', 'Zsk', 'Hi! Spencer', 'Jupiter Jones', 'Kuult', 'Mambo Kurt Feat. Der Wolf', 'Fredrik', 'Die Feuersteins', 'Fløre', 'Chanin', 'Charly Klauser', 'Jonny Mahoro', 'Herbst', 'Cordoba78', 'Yung Saint Paul', 'Mika Noé', 'Yara', 'Liska', 'Still Talk', 'Crimson Bloom', 'Bruchbude', 'Tiffany Aris', 'Moonkid', 'Tulpe', 'The Other', 'Pyogenesis', 'Hartmann', 'Vinta', 'Bikini Beach', 'Enemy Inside', 'Muuske', 'Cloudspotter', 'Grell', 'Lestrange', 'Tube', 'Yola', 'Hanna Rautzenberg', 'Luca Noel', 'Boppin\x92 B', 'The Silverettes', 'Marc Atlas', 'Ceci', 'The Drug', 'Eala', 'Pablu', 'Jenny & Joy', 'Sarah Hübers & Band', 'Dean & The Blue Bros', 'Mon&mavey', 'Einfach Diana', 'Max & Dustin und weitere']","Thomas Godoj, Samurai Pizza Cats, From Fall To Spring, Zsk, Hi! Spencer, Jupiter Jones, Kuult, Mambo Kurt Feat. Der Wolf, Fredrik, Die Feuersteins, Fløre, Chanin, Charly Klauser, Jonny Mahoro, Herbst, Cordoba78, Yung Saint Paul, Mika Noé, Yara, Liska, Still Talk, Crimson Bloom, Bruchbude, Tiffany Aris, Moonkid, Tulpe, The Other, Pyogenesis, Hartmann, Vinta, Bikini Beach, Enemy Inside, Muuske, Cloudspotter, Grell, Lestrange, Tube, Yola, Hanna Rautzenberg, Luca Noel, Boppin B, The Silverettes, Marc Atlas, Ceci, The Drug, Eala, Pablu, Jenny & Joy, Sarah Hübers & Band, Dean & The Blue Bros, Mon&mavey, Einfach Diana, Max & Dustin und weitere"
Best Kept Secret Festival,https://www.festivalticker.de/festivals/best_kept_secret/,12.06.2026 bis 14.06.2026,VVK 294 € | mit Camping VVK 309 €,Safaripark Beekse Bergen,5081 NJ,Hilvarenbeek,Holland,https://www.bestkeptsecret.nl/,"['Gorillaz', 'Jack White', 'Nick Cave & The Bad Seeds', '∑tella', 'Ão', 'Aili & Orson', 'Ajuma', 'Aldous Harding', 'Alice Olsthoorn', 'Amaarae', 'Anna von Hausswolff', 'Another Country $$$$', 'Any Young Mechanic', 'Apichat Pakwan', 'Aram Mukanay b2b Deodaat', 'Ata Kak', 'Bcuc', 'Bibtiana', 'Blood Incantation', 'Bony Fly', 'Bruno Berle', ""C'est Qui?"", 'Cami Layé Okún', 'Crows', 'Croíthe', 'Curtis Harding', 'Dame Area', 'De La Soul', 'Discos Horizontes', 'DJ St. Paul', 'DJ Tracksuit', 'Don West', 'Doppelgang', 'Dressed Like Boys', 'DYGL', 'Elmer', 'Ethel Cain', 'Etta Marcus', 'Fada Jep', 'Femi Kuti & The Positive Force', 'Gelli Haha', 'Genesis Owusu', 'Getdown Services', 'Ghostwoman', 'Girls to the Front', 'Good Flying Birds', 'Grote Geelstaart', 'Guylian', 'Hayley Williams', ""Here's The Thing"", 'Hiefoda Tunes', 'Hiqpy', 'Iliassopdebeat', 'Indie Gloria', 'Ineffekt', 'JBN Soundsystem', 'Job Jobse', 'Joey Valence & Brae', 'Jungle By Night', 'Juul', 'Kaat van Stralen', 'Katayoun', 'Kebra Ethiopia Soundsystem', 'Kinetiks', 'Ko Kliko', 'Kroon', 'Kumo 99', 'Leoniden', 'Lime Garden', 'Lucky Done Gone', 'Lucky Done Gone b2b Sef', 'Mac DeMarco', 'Maddie Ashman', 'Madra Salach', 'Marie Davidson', 'Mark William Lewis', 'Mavi', 'Mavochi b2b Diede', 'Merol', 'Mia Koden', 'Midrift', 'Militarie Gun', 'Model/Actriz', 'Mr. Cutts', 'Mula', 'Mên An Tol', 'Nation of Language', 'Naïka', 'NewDad', 'Night Dubbing', 'Nymfo b2b Zohar', 'Oceanic', 'Ofra', 'OG Karin', 'Pacifica', 'Parker Fans', 'Radio Free Alice', 'Rimini Express', 'Sammy Virji', 'Sedef Adasï', 'Sef', 'Servo', 'Shady Nasty', 'Sheyma', 'Skullcrusher', 'Slimfit', 'Sophie Straat', 'Sorry', 'Sudan Archives', 'Supermodel*', 'Surusinghe', 'Susobrino', 'Suze Ijó', 'Swordes', 'DJ St. Paul b2b Riptide', 'The Zawose Queens', 'Tim Reaper', 'Tramhaus', 'Tropical Fuck Storm', 'Weval', 'Wolf Alice', 'Yard Act']","Gorillaz, Jack White, Nick Cave & The Bad Seeds, ∑tella, Ão, Aili & Orson, Ajuma, Aldous Harding, Alice Olsthoorn, Amaarae, Anna von Hausswolff, Another Country $$$$, Any Young Mechanic, Apichat Pakwan, Aram Mukanay b2b Deodaat, Ata Kak, Bcuc, Bibtiana, Blood Incantation, Bony Fly, Bruno Berle, C'est Qui?, Cami Layé Okún, Crows, Croíthe, Curtis Harding, Dame Area, De La Soul, Discos Horizontes, DJ St. Paul, DJ Tracksuit, Don West, Doppelgang, Dressed Like Boys, DYGL, Elmer, Ethel Cain, Etta Marcus, Fada Jep, Femi Kuti & The Positive Force, Gelli Haha, Genesis Owusu, Getdown Services, Ghostwoman, Girls to the Front, Good Flying Birds, Grote Geelstaart, Guylian, Hayley Williams, Here's The Thing, Hiefoda Tunes, Hiqpy, Iliassopdebeat, Indie Gloria, Ineffekt, JBN Soundsystem, Job Jobse, Joey Valence & Brae, Jungle By Night, Juul, Kaat van Stralen, Katayoun, Kebra Ethiopia Soundsystem, Kinetiks, Ko Kliko, Kroon, Kumo 99, Leoniden, Lime Garden, Lucky Done Gone, Lucky Done Gone b2b Sef, Mac DeMarco, Maddie Ashman, Madra Salach, Marie Davidson, Mark William Lewis, Mavi, Mavochi b2b Diede, Merol, Mia Koden, Midrift, Militarie Gun, Model/Actriz, Mr. Cutts, Mula, Mên An Tol, Nation of Language, Naïka, NewDad, Night Dubbing, Nymfo b2b Zohar, Oceanic, Ofra, OG Karin, Pacifica, Parker Fans, Radio Free Alice, Rimini Express, Sammy Virji, Sedef Adasï, Sef, Servo, Shady Nasty, Sheyma, Skullcrusher, Slimfit, Sophie Straat, Sorry, Sudan Archives, Supermodel*, Surusinghe, Susobrino, Suze Ijó, Swordes, DJ St. Paul b2b Riptide, The Zawose Queens, Tim Reaper, Tramhaus, Tropical Fuck Storm, Weval, Wolf Alice, Yard Act"
Bloodstock Open Air,https://www.festivalticker.de/festivals/bloodstock_open_air/,06.08.2026 bis 09.08.2026,"VVK 219,50 £",Catton Park,DE12 8LN,Walton On Trent,England,https://www.bloodstock.uk.com/,"['Saxon', 'Evil Scarecrow', 'Heavysaurus', 'Lamb Of God', 'Sepultura', 'Municipal Waste', 'Biohazard', 'Fit For An Autopsy', 'Life Of Agony', 'Skynd', 'Party Cannon', 'Battlesnake', 'Slaughter To Prevail', 'Bleed From Within', 'Of Mice & Men', 'Northlane', 'Vended', 'Death Angel', 'The Scratch', 'Imperial Age', 'Inhuman Nature', 'Judas Priest', 'Body Count', 'Black Label Society', 'Testament', 'Orbit Culture', 'Kittie', 'Castle Rat', 'Graphic Nature', 'Bootyard Bandits', 'Cryptopsy', 'Black Spiders', 'The Hell', 'Mantis Defeats Jaguar', 'Wednesday 13', 'Shining', 'Neckbreakker', 'Seething Akira', 'Excrementory Grindfuckers', 'Hidden Intent', 'Sellsword', 'Hammer', 'Blood Countess', 'Gurt', 'Leprous', 'Nevermore', 'Stampin Ground', 'Urne', 'Viking Skull', 'Bound In Fear', 'Imperium', 'Outergods', 'Froglord', 'Carpenter Brut', '200 Stab Wounds', 'Mushroomhead', 'Dream State', 'Thrown Into Exile', 'Noisepicker', 'Trivax', 'Alunah', 'Flayed Disciple', 'Acid Throne und weitere']","Saxon, Evil Scarecrow, Heavysaurus, Lamb Of God, Sepultura, Municipal Waste, Biohazard, Fit For An Autopsy, Life Of Agony, Skynd, Party Cannon, Battlesnake, Slaughter To Prevail, Bleed From Within, Of Mice & Men, Northlane, Vended, Death Angel, The Scratch, Imperial Age, Inhuman Nature, Judas Priest, Body Count, Black Label Society, Testament, Orbit Culture, Kittie, Castle Rat, Graphic Nature, Bootyard Bandits, Cryptopsy, Black Spiders, The Hell, Mantis Defeats Jaguar, Wednesday 13, Shining, Neckbreakker, Seething Akira, Excrementory Grindfuckers, Hidden Intent, Sellsword, Hammer, Blood Countess, Gurt, Leprous, Nevermore, Stampin Ground, Urne, Viking Skull, Bound In Fear, Imperium, Outergods, Froglord, Carpenter Brut, 200 Stab Wounds, Mushroomhead, Dream State, Thrown Into Exile, Noisepicker, Trivax, Alunah, Flayed Disciple, Acid Throne und weitere"
